"Date","002422.SZ.Open","002422.SZ.High","002422.SZ.Low","002422.SZ.Close","002422.SZ.Volume","002422.SZ.Adjusted"
2010-06-03,83.36,93.18,82.17,89.64,109937100,28.95
2010-06-04,92,92.48,87.22,90.61,51012900,29.27
2010-06-07,88.03,95.98,87.43,94.32,31873200,30.47
2010-06-08,94,94.3,91.33,92.85,15439500,29.99
2010-06-09,92.88,95.34,92.28,93.28,13062000,30.13
2010-06-10,93,99.17,92.65,97.9,16635600,31.62
2010-06-11,98,99.93,97.1,97.69,10724700,31.55
2010-06-17,98.09,98.5,89,89.01,21301800,28.75
2010-06-18,88,89,84.1,87.1,13518600,28.13
2010-06-21,86.1,91.98,85.33,90.9,8516700,29.36
2010-06-22,90.13,94.17,90.04,91.32,6309600,29.5
2010-06-23,90.65,93.3,90.55,92.93,6311100,30.02
2010-06-24,92.8,96.84,92,96.4,8931900,31.14
2010-06-25,95.91,98.29,95.01,96.41,9127200,31.14
2010-06-28,95.98,100.48,95.32,97.27,9323700,31.42
2010-06-30,92.82,95.38,89.51,93.8,10286700,30.3
2010-07-01,92.8,94,89,89.01,6543900,28.75
2010-07-02,88.06,89.27,83.2,86.9,7141200,28.07
2010-07-05,85.8,89.88,85,89.21,4280100,28.82
2010-07-06,88.9,92.56,88.65,91.08,4404900,29.42
2010-07-07,92.4,92.4,88,90.7,3564600,29.3
2010-07-08,92,96.58,90.78,95.82,5987400,30.95
2010-07-09,95.31,97.89,94.82,96.75,6229200,31.25
2010-07-12,96.78,98.87,95.41,97,4393800,31.33
2010-07-13,95.52,96.77,93.4,94.8,4139400,30.62
2010-07-14,94.85,98.68,94.2,95.2,3729300,30.75
2010-07-15,95.49,96.78,90.21,90.3,4638300,29.17
2010-07-16,89.5,91.96,89.03,91.4,2912400,29.52
2010-07-19,90.98,95.6,90.2,95.4,4639200,30.81
2010-07-20,95.5,104.18,95.32,100.95,15559200,32.61
2010-07-21,101,103.95,100.03,100.94,11034000,32.6
2010-07-22,101.81,106.44,101.02,105.7,9085800,34.14
2010-07-23,105.77,105.8,102.26,104.8,8340300,33.85
2010-07-26,104.8,105.8,103,104.89,5382600,33.88
2010-07-27,104.66,107.97,104.52,106.8,5283600,34.5
2010-07-28,105.28,108.1,103.07,106.48,6631500,34.39
2010-07-29,106.5,106.5,103.5,105.8,5932800,34.17
2010-07-30,105.9,108.45,105,108.21,6514800,34.95
2010-08-02,109.2,110.5,108.01,108.18,4917300,34.94
2010-08-03,107.93,110.5,107.56,107.69,5086200,34.78
2010-08-04,107.91,108.5,104.4,107.11,6429300,34.6
2010-08-05,106.9,109.4,105.8,106.8,4467600,34.5
2010-08-06,106.35,108.51,105.1,108.27,4032900,34.97
2010-08-09,108.97,113.48,108.4,113.45,6407100,36.65
